feature,n,spearman_r,spearman_p,pearson_r,pearson_p,abs_spearman_r
post_messages_secret,30,0.5926580490415235,0.0005586531068683873,0.5404928743043949,0.0020460722465039396,0.5926580490415235
post_chars_secret,30,0.542059220905115,0.0019737688411530755,0.5695354412017283,0.0010198309912316716,0.542059220905115
secret_channel_enabled,30,0.5254992153061282,0.002862670291296476,0.47713387673404256,0.00767441372536383,0.5254992153061282
post_chars_non_secret,30,-0.3459844178232316,0.061092938357364526,-0.32332504261650036,0.0813627148031211,0.3459844178232316
post_messages_non_secret,30,-0.3045808758459161,0.10173052284432632,-0.22902168553353072,0.2234664129001493,0.3045808758459161
post_chars_total,30,-0.2887435001313294,0.12174647485253018,-0.21759504091234558,0.2480574715876886,0.2887435001313294
tool_calls_assign_task,30,0.23225729779912704,0.21681383229089624,0.20569991815700212,0.275490743342909,0.23225729779912704
agent_turn_conversation_steps_total,30,0.14585882408335338,0.4418446722139642,0.25108646554885206,0.18077323624025626,0.14585882408335338
seed,30,0.11267619431313024,0.5533002295631881,0.16885197081633455,0.37240839469664644,0.11267619431313024
agent_turn_response_chars_total,30,-0.07755221106644818,0.6837610710661121,-0.10370655795897384,0.585504490331716,0.07755221106644818
post_messages_total,30,0.06831735431858493,0.719812644571211,0.2100651948808013,0.26520488440391093,0.06831735431858493
tool_calls_post_message,30,0.06831735431858493,0.719812644571211,0.2100651948808013,0.26520488440391093,0.06831735431858493
agent_turn_tools_executed_total,30,0.06565608575425748,0.7303162137996455,0.20066889164639615,0.28766015400977724,0.06565608575425748
tool_calls_total,30,0.06274198106038917,0.7418727145635171,0.21901406062505552,0.24491011644562594,0.06274198106038917
