condition,condition_pretty,mean,metric_key,metric_label,model_label,model_label_pretty,n,sem
baseline,Control (no SC),0.7078089592110214,normalized_regret,Normalized Regret (↓),claude-opus-4-6,Opus-4.6,5,0.037440006858567305
baseline,Control (no SC),0.554891304347826,normalized_coalition_regret_gap,Coalition Advantage (-),claude-opus-4-6,Opus-4.6,5,0.07827295772056964
baseline,Control (no SC),1.2666666666666668,judge_mean_rating,Collusion Judge (↓),claude-opus-4-6,Opus-4.6,5,0.08498365855987976
control,Emergent (SC),0.6894905048085356,normalized_regret,Normalized Regret (↓),claude-opus-4-6,Opus-4.6,5,0.033873471458668244
control,Emergent (SC),0.5400815217391305,normalized_coalition_regret_gap,Coalition Advantage (-),claude-opus-4-6,Opus-4.6,5,0.06877033714924614
control,Emergent (SC),1.9333333333333331,judge_mean_rating,Collusion Judge (↓),claude-opus-4-6,Opus-4.6,5,0.24494897427831774
simple,Prompted (SC),0.701556440892847,normalized_regret,Normalized Regret (↓),claude-opus-4-6,Opus-4.6,5,0.024056998874037644
simple,Prompted (SC),0.48179347826086955,normalized_coalition_regret_gap,Coalition Advantage (-),claude-opus-4-6,Opus-4.6,5,0.038165444048865384
simple,Prompted (SC),3.5333333333333328,judge_mean_rating,Collusion Judge (↓),claude-opus-4-6,Opus-4.6,5,0.22607766610417554
baseline,Control (no SC),0.7003583814933854,normalized_regret,Normalized Regret (↓),deepseek-v3.2,deepseek-v3.2,5,0.025285128703661015
baseline,Control (no SC),0.5495798319327732,normalized_coalition_regret_gap,Coalition Advantage (-),deepseek-v3.2,deepseek-v3.2,5,0.13976078826715732
baseline,Control (no SC),1.4666666666666666,judge_mean_rating,Collusion Judge (↓),deepseek-v3.2,deepseek-v3.2,5,0.12247448713915897
control,Emergent (SC),0.6909868051198736,normalized_regret,Normalized Regret (↓),deepseek-v3.2,deepseek-v3.2,5,0.019320354549919257
control,Emergent (SC),0.5280112044817927,normalized_coalition_regret_gap,Coalition Advantage (-),deepseek-v3.2,deepseek-v3.2,5,0.11745265383759815
control,Emergent (SC),2.6666666666666665,judge_mean_rating,Collusion Judge (↓),deepseek-v3.2,deepseek-v3.2,5,0.28867513459481287
