model_label,target,feature,n,spearman_r,spearman_p,pearson_r,pearson_p,abs_spearman_r
anthropic-claude-sonnet-4-5,judge_mean_rating,post_messages_secret,30,0.5744314195414649,0.0009011252637374235,0.5669467095138409,0.0010879521257796127,0.5744314195414649
anthropic-claude-sonnet-4-5,judge_mean_rating,secret_channel_enabled,30,0.5744314195414649,0.0009011252637374235,0.5669467095138409,0.0010879521257796127,0.5744314195414649
anthropic-claude-sonnet-4-5,judge_mean_rating,post_chars_secret,30,0.5728301914399947,0.0009385421392897954,0.5580358466210229,0.001353761484044806,0.5728301914399947
anthropic-claude-sonnet-4-5,judge_mean_rating,agent_turn_tools_executed_total,30,0.49528817335815967,0.005387899164666568,0.5507299294714576,0.0016122403219071871,0.49528817335815967
anthropic-claude-sonnet-4-5,judge_mean_rating,post_messages_total,30,0.49528817335815967,0.005387899164666568,0.5507299294714576,0.0016122403219071871,0.49528817335815967
anthropic-claude-sonnet-4-5,judge_mean_rating,tool_calls_post_message,30,0.49528817335815967,0.005387899164666568,0.5507299294714576,0.0016122403219071871,0.49528817335815967
anthropic-claude-sonnet-4-5,judge_mean_rating,tool_calls_total,30,0.49528817335815967,0.005387899164666568,0.5507299294714576,0.0016122403219071871,0.49528817335815967
anthropic-claude-sonnet-4-5,judge_mean_rating,post_chars_non_secret,30,-0.337238981173524,0.06838631143988402,-0.3171278366455615,0.0877165845686444,0.337238981173524
anthropic-claude-sonnet-4-5,judge_mean_rating,seed,30,0.11368676140259117,0.549724072912535,0.023262105259961773,0.9028878185170902,0.11368676140259117
anthropic-claude-sonnet-4-5,judge_mean_rating,agent_turn_response_chars_total,30,0.07246267330809009,0.7035515471642517,0.1296652098088472,0.4946576006674934,0.07246267330809009
anthropic-claude-sonnet-4-5,judge_mean_rating,post_chars_total,30,-0.014492534661618019,0.9394113234087009,0.011315972818013503,0.95267471635246,0.014492534661618019
anthropic-claude-sonnet-4-5,judge_mean_rating,post_messages_non_secret,30,-0.005932245205467779,0.9751803793224674,-0.07444375004781974,0.6958247746507231,0.005932245205467779
gemini-2.5-flash,judge_mean_rating,post_chars_secret,30,0.4777680544002282,0.0075825431701038665,0.311695990538624,0.09359075597871519,0.4777680544002282
gemini-2.5-flash,judge_mean_rating,secret_channel_enabled,30,0.47052883005472024,0.008688608617327676,0.40581988741546143,0.026077876844475517,0.47052883005472024
gemini-2.5-flash,judge_mean_rating,post_messages_secret,30,0.40698025861412285,0.02561327877121998,0.34870109037582114,0.0589559067998639,0.40698025861412285
gemini-2.5-flash,judge_mean_rating,post_chars_total,30,0.3609898942174022,0.05001159072546491,0.3215646913336797,0.08313051554280015,0.3609898942174022
gemini-2.5-flash,judge_mean_rating,agent_turn_tools_executed_total,30,0.2717125055174339,0.14636751974788245,0.23917755030452664,0.20304095375518308,0.2717125055174339
gemini-2.5-flash,judge_mean_rating,post_messages_total,30,0.2717125055174339,0.14636751974788245,0.23917755030452664,0.20304095375518308,0.2717125055174339
gemini-2.5-flash,judge_mean_rating,tool_calls_post_message,30,0.2717125055174339,0.14636751974788245,0.23917755030452664,0.20304095375518308,0.2717125055174339
gemini-2.5-flash,judge_mean_rating,tool_calls_total,30,0.2717125055174339,0.14636751974788245,0.23917755030452664,0.20304095375518308,0.2717125055174339
gemini-2.5-flash,judge_mean_rating,agent_turn_response_chars_total,30,0.26686147128835946,0.15399662781598017,0.27634199001238124,0.13934532729422885,0.26686147128835946
gemini-2.5-flash,judge_mean_rating,post_chars_non_secret,30,0.2562658634717394,0.17164482540932513,0.2758797901836809,0.14003518276519217,0.2562658634717394
gemini-2.5-flash,judge_mean_rating,post_messages_non_secret,30,-0.14641860329054393,0.440075469761926,-0.1397772686528645,0.4613116919991963,0.14641860329054393
gemini-2.5-flash,judge_mean_rating,seed,30,-0.055690476192496716,0.7700611096701689,0.0035054719305989573,0.9853321777182962,0.055690476192496716
openai-gpt-4.1-mini,judge_mean_rating,post_messages_non_secret,30,-0.5877961928461598,0.0006363989226052025,-0.546496930080701,0.0017808158554407857,0.5877961928461598
openai-gpt-4.1-mini,judge_mean_rating,post_messages_secret,30,0.5873249708291453,0.0006444165496117158,0.5337011722909781,0.0023867732574055674,0.5873249708291453
openai-gpt-4.1-mini,judge_mean_rating,post_chars_non_secret,30,-0.5861246788072361,0.00066524098984691,-0.6259405784508011,0.00021594273455228648,0.5861246788072361
openai-gpt-4.1-mini,judge_mean_rating,post_chars_secret,30,0.5387371554908518,0.0021298344546882703,0.47714376324745156,0.007672974311546706,0.5387371554908518
openai-gpt-4.1-mini,judge_mean_rating,post_chars_total,30,-0.4313814381467618,0.017305746760523554,-0.4284668812296231,0.018161660326152032,0.4313814381467618
openai-gpt-4.1-mini,judge_mean_rating,secret_channel_enabled,30,0.32825610706155095,0.07656412827338129,0.2965462838958908,0.11155003878844319,0.32825610706155095
openai-gpt-4.1-mini,judge_mean_rating,agent_turn_response_chars_total,30,0.25391192649487215,0.1757522077829764,0.17657427510150495,0.35061100108796506,0.25391192649487215
openai-gpt-4.1-mini,judge_mean_rating,agent_turn_tools_executed_total,30,0.2352544058122769,0.21077296145310395,0.19154842497251118,0.31058157338483783,0.2352544058122769
openai-gpt-4.1-mini,judge_mean_rating,post_messages_total,30,0.2352544058122769,0.21077296145310395,0.19154842497251118,0.31058157338483783,0.2352544058122769
openai-gpt-4.1-mini,judge_mean_rating,tool_calls_post_message,30,0.2352544058122769,0.21077296145310395,0.19154842497251118,0.31058157338483783,0.2352544058122769
openai-gpt-4.1-mini,judge_mean_rating,tool_calls_total,30,0.2352544058122769,0.21077296145310395,0.19154842497251118,0.31058157338483783,0.2352544058122769
openai-gpt-4.1-mini,judge_mean_rating,seed,30,-0.06137549413864979,0.7473109908461195,-0.022944318086878995,0.9042083971770329,0.06137549413864979
openai-gpt-4o-mini,judge_mean_rating,post_messages_total,30,0.3149171184768671,0.09007242937404428,0.04156443939985781,0.8273681204670695,0.3149171184768671
openai-gpt-4o-mini,judge_mean_rating,tool_calls_post_message,30,0.3149171184768671,0.09007242937404428,0.04156443939985781,0.8273681204670695,0.3149171184768671
openai-gpt-4o-mini,judge_mean_rating,post_chars_total,30,0.30288239893092295,0.10375003901936056,0.20037669240552144,0.28837731360176644,0.30288239893092295
openai-gpt-4o-mini,judge_mean_rating,agent_turn_tools_executed_total,30,0.2912307457111481,0.11842419992921308,0.03577076701783022,0.8511438082961101,0.2912307457111481
openai-gpt-4o-mini,judge_mean_rating,tool_calls_total,30,0.2912307457111481,0.11842419992921308,0.03577076701783022,0.8511438082961101,0.2912307457111481
openai-gpt-4o-mini,judge_mean_rating,post_chars_secret,30,0.25832188573982384,0.16811322913627133,0.39340764438686515,0.031491720071151946,0.25832188573982384
openai-gpt-4o-mini,judge_mean_rating,secret_channel_enabled,30,0.24577644722049644,0.19048010910194135,0.318024159330856,0.08677491842646258,0.24577644722049644
openai-gpt-4o-mini,judge_mean_rating,agent_turn_response_chars_total,30,-0.22743897091202742,0.22677028410485947,-0.10967129378710848,0.5639970414970632,0.22743897091202742
openai-gpt-4o-mini,judge_mean_rating,post_chars_non_secret,30,0.2268782014463842,0.22794873278398986,0.07252543935293987,0.7033062922195052,0.2268782014463842
openai-gpt-4o-mini,judge_mean_rating,tool_calls_assign_task,30,-0.18121590105628307,0.3378856504950559,-0.13885424242028796,0.46430533170587474,0.18121590105628307
openai-gpt-4o-mini,judge_mean_rating,post_messages_secret,30,0.1648681292991825,0.383956731063948,0.3121973456224128,0.09303640402396357,0.1648681292991825
