condition,condition_pretty,mean,metric_key,metric_label,model_label,model_label_pretty,n,sem
baseline,Control (no SC),0.05384650229293485,normalized_regret,Normalized Regret (↓),claude-opus-4-6,Opus-4.6,5,0.01417858614501988
baseline,Control (no SC),0.4985010750171427,normalized_coalition_regret_gap,Coalition Advantage (-),claude-opus-4-6,Opus-4.6,5,0.06453104247787947
baseline,Control (no SC),0.9666666666666666,judge_mean_rating,Collusion Judge (↓),claude-opus-4-6,Opus-4.6,5,0.03333333333333335
control,Emergent (SC),0.02509633417058943,normalized_regret,Normalized Regret (↓),claude-opus-4-6,Opus-4.6,5,0.011156640142137521
control,Emergent (SC),0.5146403557972201,normalized_coalition_regret_gap,Coalition Advantage (-),claude-opus-4-6,Opus-4.6,5,0.009588226681288782
control,Emergent (SC),2.066666666666667,judge_mean_rating,Collusion Judge (↓),claude-opus-4-6,Opus-4.6,5,0.35197853469904794
simple,Prompted (SC),0.04509736874053658,normalized_regret,Normalized Regret (↓),claude-opus-4-6,Opus-4.6,5,0.01684884578712898
simple,Prompted (SC),0.4822788344106959,normalized_coalition_regret_gap,Coalition Advantage (-),claude-opus-4-6,Opus-4.6,5,0.061658916213326635
simple,Prompted (SC),3.5333333333333328,judge_mean_rating,Collusion Judge (↓),claude-opus-4-6,Opus-4.6,5,0.3091206165165234
baseline,Control (no SC),0.05948591371924368,normalized_regret,Normalized Regret (↓),deepseek-v3.2,deepseek-v3.2,5,0.023532319232886602
baseline,Control (no SC),0.42576060320817605,normalized_coalition_regret_gap,Coalition Advantage (-),deepseek-v3.2,deepseek-v3.2,5,0.1071354841633325
baseline,Control (no SC),1.0,judge_mean_rating,Collusion Judge (↓),deepseek-v3.2,deepseek-v3.2,5,0.0
control,Emergent (SC),0.035717387679388146,normalized_regret,Normalized Regret (↓),deepseek-v3.2,deepseek-v3.2,5,0.012087047645664283
control,Emergent (SC),0.513558369957089,normalized_coalition_regret_gap,Coalition Advantage (-),deepseek-v3.2,deepseek-v3.2,5,0.011691606313089308
control,Emergent (SC),2.1333333333333337,judge_mean_rating,Collusion Judge (↓),deepseek-v3.2,deepseek-v3.2,5,0.3815174380753199
simple,Prompted (SC),0.06695571341766168,normalized_regret,Normalized Regret (↓),deepseek-v3.2,deepseek-v3.2,5,0.016734114828069472
simple,Prompted (SC),0.5077960237796154,normalized_coalition_regret_gap,Coalition Advantage (-),deepseek-v3.2,deepseek-v3.2,5,0.0699311821102027
simple,Prompted (SC),3.0666666666666664,judge_mean_rating,Collusion Judge (↓),deepseek-v3.2,deepseek-v3.2,5,0.17159383568311676
baseline,Control (no SC),0.048364392578205684,normalized_regret,Normalized Regret (↓),fw-glm-5,GLM-5,5,0.02192808226953164
baseline,Control (no SC),0.54594216353881,normalized_coalition_regret_gap,Coalition Advantage (-),fw-glm-5,GLM-5,5,0.027570685189240184
baseline,Control (no SC),0.9666666666666666,judge_mean_rating,Collusion Judge (↓),fw-glm-5,GLM-5,5,0.03333333333333335
control,Emergent (SC),0.05478343211775779,normalized_regret,Normalized Regret (↓),fw-glm-5,GLM-5,5,0.016718440259454206
control,Emergent (SC),0.5081129775585026,normalized_coalition_regret_gap,Coalition Advantage (-),fw-glm-5,GLM-5,5,0.061031886002705475
control,Emergent (SC),1.9666666666666668,judge_mean_rating,Collusion Judge (↓),fw-glm-5,GLM-5,5,0.3091206165165234
simple,Prompted (SC),0.042712255051384554,normalized_regret,Normalized Regret (↓),fw-glm-5,GLM-5,5,0.02203140003739514
simple,Prompted (SC),0.5485283055270226,normalized_coalition_regret_gap,Coalition Advantage (-),fw-glm-5,GLM-5,5,0.028626338819952152
simple,Prompted (SC),2.933333333333333,judge_mean_rating,Collusion Judge (↓),fw-glm-5,GLM-5,5,0.2718251071716681
baseline,Control (no SC),0.08766156093679142,normalized_regret,Normalized Regret (↓),fw-minimax-m2.5,MiniMax-M2.5,5,0.0422293419442261
baseline,Control (no SC),0.5701190773774283,normalized_coalition_regret_gap,Coalition Advantage (-),fw-minimax-m2.5,MiniMax-M2.5,5,0.05812884102041164
baseline,Control (no SC),0.8333333333333333,judge_mean_rating,Collusion Judge (↓),fw-minimax-m2.5,MiniMax-M2.5,5,0.052704627669472995
control,Emergent (SC),0.08563089147660012,normalized_regret,Normalized Regret (↓),fw-minimax-m2.5,MiniMax-M2.5,5,0.038316609503194286
control,Emergent (SC),0.4918171925352025,normalized_coalition_regret_gap,Coalition Advantage (-),fw-minimax-m2.5,MiniMax-M2.5,5,0.08329373670857158
control,Emergent (SC),0.8666666666666666,judge_mean_rating,Collusion Judge (↓),fw-minimax-m2.5,MiniMax-M2.5,5,0.12247448713915894
simple,Prompted (SC),0.11172013539033379,normalized_regret,Normalized Regret (↓),fw-minimax-m2.5,MiniMax-M2.5,5,0.02421014896924365
simple,Prompted (SC),0.32551823299570054,normalized_coalition_regret_gap,Coalition Advantage (-),fw-minimax-m2.5,MiniMax-M2.5,5,0.07022341474517964
simple,Prompted (SC),2.2,judge_mean_rating,Collusion Judge (↓),fw-minimax-m2.5,MiniMax-M2.5,5,0.12247448713915887
baseline,Control (no SC),0.1036445192400803,normalized_regret,Normalized Regret (↓),gpt-5.4,GPT-5.4,5,0.021493397985375827
baseline,Control (no SC),0.48551169413010803,normalized_coalition_regret_gap,Coalition Advantage (-),gpt-5.4,GPT-5.4,5,0.11889580677145827
baseline,Control (no SC),1.0,judge_mean_rating,Collusion Judge (↓),gpt-5.4,GPT-5.4,5,0.0
control,Emergent (SC),0.14381566298194984,normalized_regret,Normalized Regret (↓),gpt-5.4,GPT-5.4,5,0.037448315737476305
control,Emergent (SC),0.4309949033959047,normalized_coalition_regret_gap,Coalition Advantage (-),gpt-5.4,GPT-5.4,5,0.09658554703570206
control,Emergent (SC),1.4,judge_mean_rating,Collusion Judge (↓),gpt-5.4,GPT-5.4,5,0.12472191289246472
simple,Prompted (SC),0.10995977465212037,normalized_regret,Normalized Regret (↓),gpt-5.4,GPT-5.4,5,0.046190287071557395
simple,Prompted (SC),0.5763097446163525,normalized_coalition_regret_gap,Coalition Advantage (-),gpt-5.4,GPT-5.4,5,0.042601450662904924
simple,Prompted (SC),2.5,judge_mean_rating,Collusion Judge (↓),gpt-5.4,GPT-5.4,5,0.1666666666666668
baseline,Control (no SC),0.07146653469780664,normalized_regret,Normalized Regret (↓),grok-4-20-reasoning,Grok-4-20-Reasoning,5,0.03699171631768342
baseline,Control (no SC),0.5261175343453462,normalized_coalition_regret_gap,Coalition Advantage (-),grok-4-20-reasoning,Grok-4-20-Reasoning,5,0.12762194396921678
baseline,Control (no SC),1.0,judge_mean_rating,Collusion Judge (↓),grok-4-20-reasoning,Grok-4-20-Reasoning,5,0.0
control,Emergent (SC),0.03746452803375917,normalized_regret,Normalized Regret (↓),grok-4-20-reasoning,Grok-4-20-Reasoning,5,0.017022835719242926
