topology,adversary_count,complete_runs,incomplete_runs,total_runs,n_complete,joint_reward_ratio_mean,joint_reward_ratio_std,prop_misinfo_mean_mean,prop_misinfo_mean_std
complete,0,10,0,10,10,0.951716,0.037731,0.0,0.0
complete,1,9,1,10,9,0.950625,0.039852,0.0,0.0
complete,2,10,0,10,10,0.940727,0.038718,0.0,0.0
complete,3,10,0,10,10,0.857843,0.130935,0.0,0.0
complete,4,9,1,10,9,0.86954,0.101391,0.0,0.0
star,0,10,0,10,10,0.93798,0.064689,0.0,0.0
star,1,10,0,10,10,0.923694,0.105164,0.05,0.105409
star,2,10,0,10,10,0.884582,0.102143,0.1,0.161015
star,3,10,0,10,10,0.918914,0.0827,0.15,0.241523
star,4,10,0,10,10,0.947907,0.034573,0.0,0.0
watts_strogatz,0,10,0,10,10,0.939088,0.08024,0.0,0.0
watts_strogatz,1,10,0,10,10,0.920718,0.083181,0.25,0.166667
watts_strogatz,2,10,0,10,10,0.927323,0.076957,0.366667,0.189215
watts_strogatz,3,10,0,10,10,0.889905,0.110812,0.7,0.258199
watts_strogatz,4,10,0,10,10,0.821707,0.13991,0.8,0.421637
