condition,condition_pretty,mean,metric_key,metric_label,model_label,model_label_pretty,n,sem
baseline,Control (no SC),0.05384650229293485,normalized_regret,Normalized Regret (↓),claude-opus-4-6,Opus-4.6,10,0.017527878822261752
baseline,Control (no SC),0.49850107501714264,normalized_coalition_regret_gap,Coalition Advantage (-),claude-opus-4-6,Opus-4.6,10,0.05964417102682244
baseline,Control (no SC),0.9666666666666666,judge_mean_rating,Collusion Judge (↓),claude-opus-4-6,Opus-4.6,10,0.03333333333333333
sc1,Emergent (1SC),0.032055759321812205,normalized_regret,Normalized Regret (↓),claude-opus-4-6,Opus-4.6,10,0.012870321911890399
sc1,Emergent (1SC),0.5271420351358755,normalized_coalition_regret_gap,Coalition Advantage (-),claude-opus-4-6,Opus-4.6,10,0.017418972375684866
sc1,Emergent (1SC),2.0333333333333337,judge_mean_rating,Collusion Judge (↓),claude-opus-4-6,Opus-4.6,10,0.23013683530231088
sc2,Emergent (2SC),0.038472476561636534,normalized_regret,Normalized Regret (↓),claude-opus-4-6,Opus-4.6,10,0.014576441538169862
sc2,Emergent (2SC),0.5397983767359211,normalized_coalition_regret_gap,Coalition Advantage (-),claude-opus-4-6,Opus-4.6,10,0.019669114567406037
sc2,Emergent (2SC),1.8,judge_mean_rating,Collusion Judge (↓),claude-opus-4-6,Opus-4.6,10,0.18724777273725243
sc3,Emergent (3SC),0.03447290216294829,normalized_regret,Normalized Regret (↓),claude-opus-4-6,Opus-4.6,10,0.01197921477624906
sc3,Emergent (3SC),0.4990180585249429,normalized_coalition_regret_gap,Coalition Advantage (-),claude-opus-4-6,Opus-4.6,10,0.027674821923916314
sc3,Emergent (3SC),1.4333333333333333,judge_mean_rating,Collusion Judge (↓),claude-opus-4-6,Opus-4.6,10,0.17950549357115017
baseline,Control (no SC),0.05948591371924368,normalized_regret,Normalized Regret (↓),deepseek-v3.2,deepseek-v3.2,10,0.015938380168553118
baseline,Control (no SC),0.42576060320817605,normalized_coalition_regret_gap,Coalition Advantage (-),deepseek-v3.2,deepseek-v3.2,10,0.07153666816644016
baseline,Control (no SC),1.0,judge_mean_rating,Collusion Judge (↓),deepseek-v3.2,deepseek-v3.2,10,0.0
sc1,Emergent (1SC),0.035717387679388146,normalized_regret,Normalized Regret (↓),deepseek-v3.2,deepseek-v3.2,10,0.009016240985758501
sc1,Emergent (1SC),0.5135583699570891,normalized_coalition_regret_gap,Coalition Advantage (-),deepseek-v3.2,deepseek-v3.2,10,0.009716935372950566
sc1,Emergent (1SC),2.1333333333333333,judge_mean_rating,Collusion Judge (↓),deepseek-v3.2,deepseek-v3.2,10,0.2948110924760356
sc2,Emergent (2SC),0.03472417344351854,normalized_regret,Normalized Regret (↓),deepseek-v3.2,deepseek-v3.2,10,0.010976707490389878
sc2,Emergent (2SC),0.5266355385694279,normalized_coalition_regret_gap,Coalition Advantage (-),deepseek-v3.2,deepseek-v3.2,10,0.013705367824547551
sc2,Emergent (2SC),2.1,judge_mean_rating,Collusion Judge (↓),deepseek-v3.2,deepseek-v3.2,10,0.21688023662159037
sc3,Emergent (3SC),0.08279525266345705,normalized_regret,Normalized Regret (↓),deepseek-v3.2,deepseek-v3.2,10,0.027857303939305425
sc3,Emergent (3SC),0.5245612756320487,normalized_coalition_regret_gap,Coalition Advantage (-),deepseek-v3.2,deepseek-v3.2,10,0.0671775840139511
sc3,Emergent (3SC),1.7333333333333332,judge_mean_rating,Collusion Judge (↓),deepseek-v3.2,deepseek-v3.2,10,0.21545243810739237
baseline,Control (no SC),0.048364392578205684,normalized_regret,Normalized Regret (↓),fw-glm-5,GLM-5,10,0.015044327786850558
baseline,Control (no SC),0.54594216353881,normalized_coalition_regret_gap,Coalition Advantage (-),fw-glm-5,GLM-5,10,0.018864130676242055
baseline,Control (no SC),0.9666666666666668,judge_mean_rating,Collusion Judge (↓),fw-glm-5,GLM-5,10,0.03333333333333333
sc1,Emergent (1SC),0.05478343211775779,normalized_regret,Normalized Regret (↓),fw-glm-5,GLM-5,10,0.013145853959244027
sc1,Emergent (1SC),0.5081129775585026,normalized_coalition_regret_gap,Coalition Advantage (-),fw-glm-5,GLM-5,10,0.058469721043338134
sc1,Emergent (1SC),1.9666666666666668,judge_mean_rating,Collusion Judge (↓),fw-glm-5,GLM-5,10,0.24570382652773312
sc2,Emergent (2SC),0.0665022498824967,normalized_regret,Normalized Regret (↓),fw-glm-5,GLM-5,10,0.01855380519594705
sc2,Emergent (2SC),0.36507165864685165,normalized_coalition_regret_gap,Coalition Advantage (-),fw-glm-5,GLM-5,10,0.06139221856181069
sc2,Emergent (2SC),2.1333333333333333,judge_mean_rating,Collusion Judge (↓),fw-glm-5,GLM-5,10,0.24944382578492943
sc3,Emergent (3SC),0.04721421106120548,normalized_regret,Normalized Regret (↓),fw-glm-5,GLM-5,10,0.014944703208273293
sc3,Emergent (3SC),0.4791173943220596,normalized_coalition_regret_gap,Coalition Advantage (-),fw-glm-5,GLM-5,10,0.042906251450544684
sc3,Emergent (3SC),2.1333333333333333,judge_mean_rating,Collusion Judge (↓),fw-glm-5,GLM-5,10,0.36918328279635887
baseline,Control (no SC),0.08766156093679142,normalized_regret,Normalized Regret (↓),fw-minimax-m2.5,MiniMax-M2.5,10,0.02877974396013466
baseline,Control (no SC),0.5701190773774283,normalized_coalition_regret_gap,Coalition Advantage (-),fw-minimax-m2.5,MiniMax-M2.5,10,0.04740327669785924
baseline,Control (no SC),0.8333333333333333,judge_mean_rating,Collusion Judge (↓),fw-minimax-m2.5,MiniMax-M2.5,10,0.05555555555555556
sc1,Emergent (1SC),0.08563089147660012,normalized_regret,Normalized Regret (↓),fw-minimax-m2.5,MiniMax-M2.5,10,0.026294446974610863
sc1,Emergent (1SC),0.4918171925352025,normalized_coalition_regret_gap,Coalition Advantage (-),fw-minimax-m2.5,MiniMax-M2.5,10,0.056344046233655284
sc1,Emergent (1SC),0.8666666666666666,judge_mean_rating,Collusion Judge (↓),fw-minimax-m2.5,MiniMax-M2.5,10,0.10183501544346311
sc2,Emergent (2SC),0.06169170243223021,normalized_regret,Normalized Regret (↓),fw-minimax-m2.5,MiniMax-M2.5,10,0.016685357090422365
sc2,Emergent (2SC),0.5140908097800728,normalized_coalition_regret_gap,Coalition Advantage (-),fw-minimax-m2.5,MiniMax-M2.5,10,0.03882891087890092
sc2,Emergent (2SC),1.0666666666666667,judge_mean_rating,Collusion Judge (↓),fw-minimax-m2.5,MiniMax-M2.5,10,0.32885885748774984
sc3,Emergent (3SC),0.06665663042017281,normalized_regret,Normalized Regret (↓),fw-minimax-m2.5,MiniMax-M2.5,10,0.028550517969776004
sc3,Emergent (3SC),0.5189378337879635,normalized_coalition_regret_gap,Coalition Advantage (-),fw-minimax-m2.5,MiniMax-M2.5,10,0.03642389586528274
sc3,Emergent (3SC),1.1666666666666665,judge_mean_rating,Collusion Judge (↓),fw-minimax-m2.5,MiniMax-M2.5,10,0.2821872244266732
baseline,Control (no SC),0.1036445192400803,normalized_regret,Normalized Regret (↓),gpt-5.4,GPT-5.4,10,0.02042229441050621
baseline,Control (no SC),0.49086242235495237,normalized_coalition_regret_gap,Coalition Advantage (-),gpt-5.4,GPT-5.4,10,0.051378513497539365
baseline,Control (no SC),1.0,judge_mean_rating,Collusion Judge (↓),gpt-5.4,GPT-5.4,10,0.0
sc1,Emergent (1SC),0.14381566298194987,normalized_regret,Normalized Regret (↓),gpt-5.4,GPT-5.4,10,0.029070408589954494
sc1,Emergent (1SC),0.45647942321301693,normalized_coalition_regret_gap,Coalition Advantage (-),gpt-5.4,GPT-5.4,10,0.05260945383830396
sc1,Emergent (1SC),1.4,judge_mean_rating,Collusion Judge (↓),gpt-5.4,GPT-5.4,10,0.10886621079036346
sc2,Emergent (2SC),0.24044361852955679,normalized_regret,Normalized Regret (↓),gpt-5.4,GPT-5.4,10,0.04756640765587861
sc2,Emergent (2SC),0.493240078015709,normalized_coalition_regret_gap,Coalition Advantage (-),gpt-5.4,GPT-5.4,10,0.08159497645529648
sc2,Emergent (2SC),1.8333333333333335,judge_mean_rating,Collusion Judge (↓),gpt-5.4,GPT-5.4,10,0.08958064164776165
sc3,Emergent (3SC),0.1529071032998508,normalized_regret,Normalized Regret (↓),gpt-5.4,GPT-5.4,10,0.04207450396016522
sc3,Emergent (3SC),0.4824834805729683,normalized_coalition_regret_gap,Coalition Advantage (-),gpt-5.4,GPT-5.4,10,0.07055583426552857
sc3,Emergent (3SC),1.5999999999999999,judge_mean_rating,Collusion Judge (↓),gpt-5.4,GPT-5.4,10,0.11967032904743342
