feature,n,spearman_r,spearman_p,pearson_r,pearson_p,abs_spearman_r
post_messages_non_secret,30,-0.5877961928461598,0.0006363989226052025,-0.546496930080701,0.0017808158554407857,0.5877961928461598
post_messages_secret,30,0.5873249708291453,0.0006444165496117158,0.5337011722909781,0.0023867732574055674,0.5873249708291453
post_chars_non_secret,30,-0.5861246788072361,0.00066524098984691,-0.6259405784508011,0.00021594273455228648,0.5861246788072361
post_chars_secret,30,0.5387371554908518,0.0021298344546882703,0.47714376324745156,0.007672974311546706,0.5387371554908518
post_chars_total,30,-0.4313814381467618,0.017305746760523554,-0.4284668812296231,0.018161660326152032,0.4313814381467618
secret_channel_enabled,30,0.32825610706155095,0.07656412827338129,0.2965462838958908,0.11155003878844319,0.32825610706155095
agent_turn_response_chars_total,30,0.25391192649487215,0.1757522077829764,0.17657427510150495,0.35061100108796506,0.25391192649487215
agent_turn_tools_executed_total,30,0.2352544058122769,0.21077296145310395,0.19154842497251118,0.31058157338483783,0.2352544058122769
post_messages_total,30,0.2352544058122769,0.21077296145310395,0.19154842497251118,0.31058157338483783,0.2352544058122769
tool_calls_post_message,30,0.2352544058122769,0.21077296145310395,0.19154842497251118,0.31058157338483783,0.2352544058122769
tool_calls_total,30,0.2352544058122769,0.21077296145310395,0.19154842497251118,0.31058157338483783,0.2352544058122769
seed,30,-0.06137549413864979,0.7473109908461195,-0.022944318086878995,0.9042083971770329,0.06137549413864979
