feature,n,spearman_r,spearman_p,pearson_r,pearson_p,abs_spearman_r
post_messages_secret,30,0.5744314195414649,0.0009011252637374235,0.5669467095138409,0.0010879521257796127,0.5744314195414649
secret_channel_enabled,30,0.5744314195414649,0.0009011252637374235,0.5669467095138409,0.0010879521257796127,0.5744314195414649
post_chars_secret,30,0.5728301914399947,0.0009385421392897954,0.5580358466210229,0.001353761484044806,0.5728301914399947
agent_turn_tools_executed_total,30,0.49528817335815967,0.005387899164666568,0.5507299294714576,0.0016122403219071871,0.49528817335815967
post_messages_total,30,0.49528817335815967,0.005387899164666568,0.5507299294714576,0.0016122403219071871,0.49528817335815967
tool_calls_post_message,30,0.49528817335815967,0.005387899164666568,0.5507299294714576,0.0016122403219071871,0.49528817335815967
tool_calls_total,30,0.49528817335815967,0.005387899164666568,0.5507299294714576,0.0016122403219071871,0.49528817335815967
post_chars_non_secret,30,-0.337238981173524,0.06838631143988402,-0.3171278366455615,0.0877165845686444,0.337238981173524
seed,30,0.11368676140259117,0.549724072912535,0.023262105259961773,0.9028878185170902,0.11368676140259117
agent_turn_response_chars_total,30,0.07246267330809009,0.7035515471642517,0.1296652098088472,0.4946576006674934,0.07246267330809009
post_chars_total,30,-0.014492534661618019,0.9394113234087009,0.011315972818013503,0.95267471635246,0.014492534661618019
post_messages_non_secret,30,-0.005932245205467779,0.9751803793224674,-0.07444375004781974,0.6958247746507231,0.005932245205467779
