feature,n,spearman_r,spearman_p,pearson_r,pearson_p,abs_spearman_r
post_messages_total,30,0.3149171184768671,0.09007242937404428,0.04156443939985781,0.8273681204670695,0.3149171184768671
tool_calls_post_message,30,0.3149171184768671,0.09007242937404428,0.04156443939985781,0.8273681204670695,0.3149171184768671
post_chars_total,30,0.30288239893092295,0.10375003901936056,0.20037669240552144,0.28837731360176644,0.30288239893092295
agent_turn_tools_executed_total,30,0.2912307457111481,0.11842419992921308,0.03577076701783022,0.8511438082961101,0.2912307457111481
tool_calls_total,30,0.2912307457111481,0.11842419992921308,0.03577076701783022,0.8511438082961101,0.2912307457111481
post_chars_secret,30,0.25832188573982384,0.16811322913627133,0.39340764438686515,0.031491720071151946,0.25832188573982384
secret_channel_enabled,30,0.24577644722049644,0.19048010910194135,0.318024159330856,0.08677491842646258,0.24577644722049644
agent_turn_response_chars_total,30,-0.22743897091202742,0.22677028410485947,-0.10967129378710848,0.5639970414970632,0.22743897091202742
post_chars_non_secret,30,0.2268782014463842,0.22794873278398986,0.07252543935293987,0.7033062922195052,0.2268782014463842
tool_calls_assign_task,30,-0.18121590105628307,0.3378856504950559,-0.13885424242028796,0.46430533170587474,0.18121590105628307
post_messages_secret,30,0.1648681292991825,0.383956731063948,0.3121973456224128,0.09303640402396357,0.1648681292991825
post_messages_non_secret,30,0.15872917525858482,0.4021520676242534,-0.06866708336608518,0.7184359868154406,0.15872917525858482
agent_turn_conversation_steps_total,30,0.14513702211250848,0.4441316228350026,0.06567710657605204,0.7302330577340015,0.14513702211250848
seed,30,-0.04238836923910507,0.823998543604756,-0.04026452702346924,0.8326903864885096,0.04238836923910507
