feature,n,spearman_r,spearman_p,pearson_r,pearson_p,abs_spearman_r
post_chars_secret,60,0.6196706087257864,1.2979567619370351e-07,0.6484881971561184,2.1121512671274605e-08,0.6196706087257864
post_messages_secret,60,0.6083649296218405,2.519630468526647e-07,0.6539664802309728,1.4631407297939876e-08,0.6083649296218405
post_messages_total,60,0.3844901961810804,0.002420378979274764,0.4345201483072803,0.000522342261726551,0.3844901961810804
tool_calls_post_message,60,0.3844901961810804,0.002420378979274764,0.4345201483072803,0.000522342261726551,0.3844901961810804
secret_channel_enabled,60,0.382619741646655,0.0025518123362058046,0.41120798440420414,0.0010989765687299314,0.382619741646655
post_chars_total,60,0.2655265306032694,0.04031954215744544,0.29046354848752154,0.024361995203921835,0.2655265306032694
tool_calls_total,60,0.1984489194772771,0.12850982058521096,0.3008206014977071,0.0195167969588106,0.1984489194772771
post_chars_non_secret,60,-0.15497347397550157,0.23707621258700512,-0.10502438665871995,0.4245140208292609,0.15497347397550157
agent_turn_response_chars_total,60,0.14840211071426976,0.25779590390526186,0.05489596012098764,0.6769770932941117,0.14840211071426976
agent_turn_conversation_steps_total,60,-0.14640542886265653,0.2643266521056575,-0.17031317307724697,0.1932525141439117,0.14640542886265653
seed,60,-0.14600880851543577,0.2656370249219393,-0.11366724772148731,0.3871767208406863,0.14600880851543577
agent_turn_tools_executed_total,60,0.11858859527468593,0.36681780884364257,0.0853436422253967,0.5167603882633234,0.11858859527468593
post_messages_non_secret,60,-0.10130587006245724,0.44118765651610825,-0.1173981843482009,0.37168175625786437,0.10130587006245724
tool_calls_assign_task,60,-0.050289963713357595,0.7027643637984626,-0.024151271261918395,0.8546675389607686,0.050289963713357595
