feature,n,spearman_r,spearman_p,pearson_r,pearson_p,abs_spearman_r
post_chars_secret,30,0.4777680544002282,0.0075825431701038665,0.311695990538624,0.09359075597871519,0.4777680544002282
secret_channel_enabled,30,0.47052883005472024,0.008688608617327676,0.40581988741546143,0.026077876844475517,0.47052883005472024
post_messages_secret,30,0.40698025861412285,0.02561327877121998,0.34870109037582114,0.0589559067998639,0.40698025861412285
post_chars_total,30,0.3609898942174022,0.05001159072546491,0.3215646913336797,0.08313051554280015,0.3609898942174022
agent_turn_tools_executed_total,30,0.2717125055174339,0.14636751974788245,0.23917755030452664,0.20304095375518308,0.2717125055174339
post_messages_total,30,0.2717125055174339,0.14636751974788245,0.23917755030452664,0.20304095375518308,0.2717125055174339
tool_calls_post_message,30,0.2717125055174339,0.14636751974788245,0.23917755030452664,0.20304095375518308,0.2717125055174339
tool_calls_total,30,0.2717125055174339,0.14636751974788245,0.23917755030452664,0.20304095375518308,0.2717125055174339
agent_turn_response_chars_total,30,0.26686147128835946,0.15399662781598017,0.27634199001238124,0.13934532729422885,0.26686147128835946
post_chars_non_secret,30,0.2562658634717394,0.17164482540932513,0.2758797901836809,0.14003518276519217,0.2562658634717394
post_messages_non_secret,30,-0.14641860329054393,0.440075469761926,-0.1397772686528645,0.4613116919991963,0.14641860329054393
seed,30,-0.055690476192496716,0.7700611096701689,0.0035054719305989573,0.9853321777182962,0.055690476192496716
