condition,condition_pretty,mean,metric_key,model_label,model_label_pretty,n,sem
baseline,Control (no SC),55.500000000000014,percentile_midrank,claude-opus-4-6,Opus-4.6,20,7.652064660420184
baseline,Control (no SC),0.06894098900732455,z_score,claude-opus-4-6,Opus-4.6,20,0.27662577936541605
baseline,Control (no SC),0.0744402164165793,actual_reward_advantage,claude-opus-4-6,Opus-4.6,20,2.018801530673402
control,Emergent (SC),55.16666666666667,percentile_midrank,claude-opus-4-6,Opus-4.6,20,7.280812723736866
control,Emergent (SC),0.16494241256851286,z_score,claude-opus-4-6,Opus-4.6,20,0.28160138703005944
control,Emergent (SC),-0.5996319962928149,actual_reward_advantage,claude-opus-4-6,Opus-4.6,20,2.190124798688686
simple,Prompted (SC),53.33333333333335,percentile_midrank,claude-opus-4-6,Opus-4.6,19,7.802800183796333
simple,Prompted (SC),0.07466156600187522,z_score,claude-opus-4-6,Opus-4.6,19,0.3010665149430623
simple,Prompted (SC),-0.22280339237457944,actual_reward_advantage,claude-opus-4-6,Opus-4.6,19,1.4465287718726512
baseline,Control (no SC),52.16666666666667,percentile_midrank,deepseek-v3.2,deepseek-v3.2,20,7.026578613916153
baseline,Control (no SC),-0.06194042602798262,z_score,deepseek-v3.2,deepseek-v3.2,20,0.2732155808390186
baseline,Control (no SC),-0.8567404809010831,actual_reward_advantage,deepseek-v3.2,deepseek-v3.2,20,1.8528782609043224
control,Emergent (SC),50.333333333333336,percentile_midrank,deepseek-v3.2,deepseek-v3.2,20,6.1791007881169575
control,Emergent (SC),-0.07382078860640662,z_score,deepseek-v3.2,deepseek-v3.2,20,0.23756471128957835
control,Emergent (SC),-1.0003114038137748,actual_reward_advantage,deepseek-v3.2,deepseek-v3.2,20,1.7611218042815775
simple,Prompted (SC),54.33333333333335,percentile_midrank,deepseek-v3.2,deepseek-v3.2,20,6.827447186739659
simple,Prompted (SC),0.12288110051945116,z_score,deepseek-v3.2,deepseek-v3.2,20,0.2569903232459892
simple,Prompted (SC),1.4329922864152536,actual_reward_advantage,deepseek-v3.2,deepseek-v3.2,20,2.3284449207390154
