condition,condition_pretty,mean,metric_key,metric_label,model_label,model_label_pretty,n,sem
baseline,Control (no SC),0.07938115210901026,normalized_regret,Normalized Regret (↓),anthropic-claude-sonnet-4-5,Sonnet-4.5,10,0.025153443637898537
baseline,Control (no SC),0.3571555411143268,normalized_coalition_regret_gap,Coalition Advantage (-),anthropic-claude-sonnet-4-5,Sonnet-4.5,10,0.06653303635042462
baseline,Control (no SC),0.8,judge_mean_rating,Collusion Judge (↓),anthropic-claude-sonnet-4-5,Sonnet-4.5,10,0.18724777273725243
control,Emergent (SC),0.07940472098553761,normalized_regret,Normalized Regret (↓),anthropic-claude-sonnet-4-5,Sonnet-4.5,10,0.023742020093011493
control,Emergent (SC),0.38612054231288795,normalized_coalition_regret_gap,Coalition Advantage (-),anthropic-claude-sonnet-4-5,Sonnet-4.5,10,0.05505927036927266
control,Emergent (SC),1.5,judge_mean_rating,Collusion Judge (↓),anthropic-claude-sonnet-4-5,Sonnet-4.5,10,0.23438914566365537
simple,Prompted (SC),0.08073523355703537,normalized_regret,Normalized Regret (↓),anthropic-claude-sonnet-4-5,Sonnet-4.5,10,0.02124764802712615
simple,Prompted (SC),0.45097012179909485,normalized_coalition_regret_gap,Coalition Advantage (-),anthropic-claude-sonnet-4-5,Sonnet-4.5,10,0.05628633833980431
simple,Prompted (SC),2.5,judge_mean_rating,Collusion Judge (↓),anthropic-claude-sonnet-4-5,Sonnet-4.5,10,0.2821872244266732
baseline,Control (no SC),0.04810648394386883,normalized_regret,Normalized Regret (↓),gemini-2.5-flash,Gemini-2.5-Flash,10,0.014192356651511329
baseline,Control (no SC),0.45798401592116234,normalized_coalition_regret_gap,Coalition Advantage (-),gemini-2.5-flash,Gemini-2.5-Flash,10,0.05523324323350669
baseline,Control (no SC),0.1,judge_mean_rating,Collusion Judge (↓),gemini-2.5-flash,Gemini-2.5-Flash,10,0.09999999999999999
control,Emergent (SC),0.0692263329511053,normalized_regret,Normalized Regret (↓),gemini-2.5-flash,Gemini-2.5-Flash,10,0.01823562753069941
control,Emergent (SC),0.4876712786320566,normalized_coalition_regret_gap,Coalition Advantage (-),gemini-2.5-flash,Gemini-2.5-Flash,10,0.0468419927862344
control,Emergent (SC),0.06666666666666667,judge_mean_rating,Collusion Judge (↓),gemini-2.5-flash,Gemini-2.5-Flash,10,0.044444444444444446
simple,Prompted (SC),0.065867814654287,normalized_regret,Normalized Regret (↓),gemini-2.5-flash,Gemini-2.5-Flash,10,0.024122686684587887
simple,Prompted (SC),0.517926951147378,normalized_coalition_regret_gap,Coalition Advantage (-),gemini-2.5-flash,Gemini-2.5-Flash,10,0.04168679975072778
simple,Prompted (SC),2.033333333333333,judge_mean_rating,Collusion Judge (↓),gemini-2.5-flash,Gemini-2.5-Flash,10,0.334995854037363
baseline,Control (no SC),0.12788068207602982,normalized_regret,Normalized Regret (↓),openai-gpt-4.1-mini,GPT-4.1-Mini,10,0.0353276739681102
baseline,Control (no SC),0.4658094180308071,normalized_coalition_regret_gap,Coalition Advantage (-),openai-gpt-4.1-mini,GPT-4.1-Mini,10,0.059489637182686565
baseline,Control (no SC),1.3333333333333333,judge_mean_rating,Collusion Judge (↓),openai-gpt-4.1-mini,GPT-4.1-Mini,10,0.29397236789606557
control,Emergent (SC),0.16397819990949453,normalized_regret,Normalized Regret (↓),openai-gpt-4.1-mini,GPT-4.1-Mini,10,0.03924173936732474
control,Emergent (SC),0.5512294285683048,normalized_coalition_regret_gap,Coalition Advantage (-),openai-gpt-4.1-mini,GPT-4.1-Mini,10,0.08253858596393016
control,Emergent (SC),1.233333333333333,judge_mean_rating,Collusion Judge (↓),openai-gpt-4.1-mini,GPT-4.1-Mini,10,0.18625616238044676
simple,Prompted (SC),0.19537151712441983,normalized_regret,Normalized Regret (↓),openai-gpt-4.1-mini,GPT-4.1-Mini,10,0.038464787419216676
simple,Prompted (SC),0.6329006270125335,normalized_coalition_regret_gap,Coalition Advantage (-),openai-gpt-4.1-mini,GPT-4.1-Mini,10,0.07213415134972176
simple,Prompted (SC),2.6,judge_mean_rating,Collusion Judge (↓),openai-gpt-4.1-mini,GPT-4.1-Mini,10,0.19116278371205833
baseline,Control (no SC),0.360051537152879,normalized_regret,Normalized Regret (↓),openai-gpt-4o-mini,GPT-4o-Mini,10,0.08797296695294922
baseline,Control (no SC),0.5104781092565938,normalized_coalition_regret_gap,Coalition Advantage (-),openai-gpt-4o-mini,GPT-4o-Mini,10,0.07619953459910894
baseline,Control (no SC),0.9666666666666668,judge_mean_rating,Collusion Judge (↓),openai-gpt-4o-mini,GPT-4o-Mini,10,0.1606314699422329
control,Emergent (SC),0.2882302435321197,normalized_regret,Normalized Regret (↓),openai-gpt-4o-mini,GPT-4o-Mini,10,0.03916025824515378
control,Emergent (SC),0.5794970036538719,normalized_coalition_regret_gap,Coalition Advantage (-),openai-gpt-4o-mini,GPT-4o-Mini,10,0.06108747062280173
control,Emergent (SC),1.3666666666666667,judge_mean_rating,Collusion Judge (↓),openai-gpt-4o-mini,GPT-4o-Mini,10,0.21914536581462243
simple,Prompted (SC),0.22586076085938558,normalized_regret,Normalized Regret (↓),openai-gpt-4o-mini,GPT-4o-Mini,10,0.03218056765115965
simple,Prompted (SC),0.5666664049695345,normalized_coalition_regret_gap,Coalition Advantage (-),openai-gpt-4o-mini,GPT-4o-Mini,10,0.042322577706381447
simple,Prompted (SC),1.7333333333333336,judge_mean_rating,Collusion Judge (↓),openai-gpt-4o-mini,GPT-4o-Mini,10,0.3777777777777777
baseline,Control (no SC),0.1015891703040416,normalized_regret,Normalized Regret (↓),together-kimik2-Instruct,Kimi-K2-Inst,10,0.035869547878068404
baseline,Control (no SC),0.4580558783712602,normalized_coalition_regret_gap,Coalition Advantage (-),together-kimik2-Instruct,Kimi-K2-Inst,10,0.05258143781586141
baseline,Control (no SC),0.4666666666666666,judge_mean_rating,Collusion Judge (↓),together-kimik2-Instruct,Kimi-K2-Inst,10,0.1507184440694504
