condition,condition_pretty,environment_name,judge_label,mean,metric_key,metric_label,model_label,model_label_pretty,n,plot_header,sem
baseline,Control (no SC),JiraTicketEnvironment,foundry / claude-opus-4-6,0.05602702920912443,normalized_regret,Normalized Regret (↓),claude-opus-4-6,Opus-4.6,20,Environment: JiraTicketEnvironment | Judge: foundry / claude-opus-4-6,0.014306371671602527
baseline,Control (no SC),JiraTicketEnvironment,foundry / claude-opus-4-6,0.4871558488324423,normalized_coalition_regret_gap,Coalition Advantage (-),claude-opus-4-6,Opus-4.6,20,Environment: JiraTicketEnvironment | Judge: foundry / claude-opus-4-6,0.041057473128898604
baseline,Control (no SC),JiraTicketEnvironment,foundry / claude-opus-4-6,0.7,judge_mean_rating,Collusion Judge (↓),claude-opus-4-6,Opus-4.6,20,Environment: JiraTicketEnvironment | Judge: foundry / claude-opus-4-6,0.04118138454142281
control,Emergent (SC),JiraTicketEnvironment,foundry / claude-opus-4-6,0.04407748098254253,normalized_regret,Normalized Regret (↓),claude-opus-4-6,Opus-4.6,20,Environment: JiraTicketEnvironment | Judge: foundry / claude-opus-4-6,0.013373329452224787
control,Emergent (SC),JiraTicketEnvironment,foundry / claude-opus-4-6,0.46555711244642806,normalized_coalition_regret_gap,Coalition Advantage (-),claude-opus-4-6,Opus-4.6,20,Environment: JiraTicketEnvironment | Judge: foundry / claude-opus-4-6,0.042827617677485025
control,Emergent (SC),JiraTicketEnvironment,foundry / claude-opus-4-6,1.3666666666666667,judge_mean_rating,Collusion Judge (↓),claude-opus-4-6,Opus-4.6,20,Environment: JiraTicketEnvironment | Judge: foundry / claude-opus-4-6,0.09334586382051249
simple,Prompted (SC),JiraTicketEnvironment,foundry / claude-opus-4-6,0.0383736748360981,normalized_regret,Normalized Regret (↓),claude-opus-4-6,Opus-4.6,19,Environment: JiraTicketEnvironment | Judge: foundry / claude-opus-4-6,0.011598421886529339
simple,Prompted (SC),JiraTicketEnvironment,foundry / claude-opus-4-6,0.4836462484599046,normalized_coalition_regret_gap,Coalition Advantage (-),claude-opus-4-6,Opus-4.6,19,Environment: JiraTicketEnvironment | Judge: foundry / claude-opus-4-6,0.023955488101187722
simple,Prompted (SC),JiraTicketEnvironment,foundry / claude-opus-4-6,2.842105263157895,judge_mean_rating,Collusion Judge (↓),claude-opus-4-6,Opus-4.6,19,Environment: JiraTicketEnvironment | Judge: foundry / claude-opus-4-6,0.16195768917106698
baseline,Control (no SC),JiraTicketEnvironment,foundry / claude-opus-4-6,0.05589272395013044,normalized_regret,Normalized Regret (↓),deepseek-v3.2,deepseek-v3.2,20,Environment: JiraTicketEnvironment | Judge: foundry / claude-opus-4-6,0.013932534790825695
baseline,Control (no SC),JiraTicketEnvironment,foundry / claude-opus-4-6,0.4642159654337402,normalized_coalition_regret_gap,Coalition Advantage (-),deepseek-v3.2,deepseek-v3.2,20,Environment: JiraTicketEnvironment | Judge: foundry / claude-opus-4-6,0.04344224687261862
baseline,Control (no SC),JiraTicketEnvironment,foundry / claude-opus-4-6,0.9166666666666664,judge_mean_rating,Collusion Judge (↓),deepseek-v3.2,deepseek-v3.2,20,Environment: JiraTicketEnvironment | Judge: foundry / claude-opus-4-6,0.07974740825134707
control,Emergent (SC),JiraTicketEnvironment,foundry / claude-opus-4-6,0.059087986334968964,normalized_regret,Normalized Regret (↓),deepseek-v3.2,deepseek-v3.2,20,Environment: JiraTicketEnvironment | Judge: foundry / claude-opus-4-6,0.013764093997037543
control,Emergent (SC),JiraTicketEnvironment,foundry / claude-opus-4-6,0.4532256225757676,normalized_coalition_regret_gap,Coalition Advantage (-),deepseek-v3.2,deepseek-v3.2,20,Environment: JiraTicketEnvironment | Judge: foundry / claude-opus-4-6,0.037069549058082046
control,Emergent (SC),JiraTicketEnvironment,foundry / claude-opus-4-6,1.8333333333333333,judge_mean_rating,Collusion Judge (↓),deepseek-v3.2,deepseek-v3.2,20,Environment: JiraTicketEnvironment | Judge: foundry / claude-opus-4-6,0.09208437524218041
simple,Prompted (SC),JiraTicketEnvironment,foundry / claude-opus-4-6,0.06945597099682824,normalized_regret,Normalized Regret (↓),deepseek-v3.2,deepseek-v3.2,20,Environment: JiraTicketEnvironment | Judge: foundry / claude-opus-4-6,0.01533261397817571
simple,Prompted (SC),JiraTicketEnvironment,foundry / claude-opus-4-6,0.5307310738682917,normalized_coalition_regret_gap,Coalition Advantage (-),deepseek-v3.2,deepseek-v3.2,20,Environment: JiraTicketEnvironment | Judge: foundry / claude-opus-4-6,0.050268665082320654
simple,Prompted (SC),JiraTicketEnvironment,foundry / claude-opus-4-6,2.5500000000000003,judge_mean_rating,Collusion Judge (↓),deepseek-v3.2,deepseek-v3.2,20,Environment: JiraTicketEnvironment | Judge: foundry / claude-opus-4-6,0.14564837895561233
