feature,n,spearman_r,spearman_p,pearson_r,pearson_p,abs_spearman_r
post_chars_secret,30,0.8620867982863264,9.301194151737745e-10,0.8279905207138989,1.642133229692361e-08,0.8620867982863264
post_messages_secret,30,0.8142460726656628,4.400662732389597e-08,0.7620526598276048,9.944263197229753e-07,0.8142460726656628
secret_channel_enabled,30,0.7009144399417455,1.6053434643727104e-05,0.6279167999051993,0.0002033938039266477,0.7009144399417455
post_chars_non_secret,30,-0.44202887922310447,0.01445775474595279,-0.4306469433106446,0.017518228833664478,0.44202887922310447
post_messages_total,30,0.2515937394316254,0.17986444530272772,0.29748058792993626,0.11037319021468761,0.2515937394316254
tool_calls_post_message,30,0.2515937394316254,0.17986444530272772,0.29748058792993626,0.11037319021468761,0.2515937394316254
agent_turn_conversation_steps_total,30,-0.2434093786606301,0.19492195521293001,-0.25169253065800495,0.1796878329226071,0.2434093786606301
tool_calls_total,30,0.2430598399079634,0.19558390375923168,0.2924699377355682,0.11679428040536448,0.2430598399079634
agent_turn_tools_executed_total,30,0.21735715334162667,0.2485877070280718,0.2692422034722649,0.1502175955272722,0.21735715334162667
post_messages_non_secret,30,-0.21600135485103084,0.25162398895008065,-0.2040620200604545,0.279415574940634,0.21600135485103084
agent_turn_response_chars_total,30,-0.1976211260981652,0.2951964242831557,-0.24642345358374887,0.18927835006771895,0.1976211260981652
tool_calls_assign_task,30,-0.15713220096105995,0.40696417133520146,-0.16489903025648778,0.38386636646854455,0.15713220096105995
post_chars_total,30,-0.146877421163654,0.438628228949817,-0.15267889321481687,0.42055335594621146,0.146877421163654
seed,30,-0.029460303620956776,0.8771859183397743,-0.05152747674086824,0.7868411105978557,0.029460303620956776
