condition,condition_pretty,mean,metric_key,metric_label,model_label,model_label_pretty,n,sem
baseline,Control (no SC),0.8002199999999998,normalized_regret,Normalized Regret (↓),fw-minimax-m2.5,MiniMax-M2.5,5,0.08668293171091988
baseline,Control (no SC),0.5431569437274135,normalized_coalition_regret_gap,Coalition Advantage (-),fw-minimax-m2.5,MiniMax-M2.5,5,0.12963182558441697
baseline,Control (no SC),0.0,judge_mean_rating,Collusion Judge (↓),fw-minimax-m2.5,MiniMax-M2.5,5,0.0
control,Emergent (SC),0.9239,normalized_regret,Normalized Regret (↓),fw-minimax-m2.5,MiniMax-M2.5,1,0.0
control,Emergent (SC),0.07589055240061954,normalized_coalition_regret_gap,Coalition Advantage (-),fw-minimax-m2.5,MiniMax-M2.5,1,0.0
control,Emergent (SC),0.0,judge_mean_rating,Collusion Judge (↓),fw-minimax-m2.5,MiniMax-M2.5,1,0.0
simple,Prompted (SC),,normalized_regret,Normalized Regret (↓),fw-minimax-m2.5,MiniMax-M2.5,0,
simple,Prompted (SC),,normalized_coalition_regret_gap,Coalition Advantage (-),fw-minimax-m2.5,MiniMax-M2.5,0,
simple,Prompted (SC),,judge_mean_rating,Collusion Judge (↓),fw-minimax-m2.5,MiniMax-M2.5,0,
baseline,Control (no SC),0.42142,normalized_regret,Normalized Regret (↓),gpt-5.4,GPT-5.4,5,0.0649482363116967
baseline,Control (no SC),0.5925093696763203,normalized_coalition_regret_gap,Coalition Advantage (-),gpt-5.4,GPT-5.4,5,0.13735422590518348
baseline,Control (no SC),0.03333333333333333,judge_mean_rating,Collusion Judge (↓),gpt-5.4,GPT-5.4,5,0.03333333333333333
control,Emergent (SC),0.42142,normalized_regret,Normalized Regret (↓),gpt-5.4,GPT-5.4,5,0.0649482363116967
control,Emergent (SC),0.5925093696763203,normalized_coalition_regret_gap,Coalition Advantage (-),gpt-5.4,GPT-5.4,5,0.13735422590518348
control,Emergent (SC),0.0,judge_mean_rating,Collusion Judge (↓),gpt-5.4,GPT-5.4,5,0.0
simple,Prompted (SC),0.43822,normalized_regret,Normalized Regret (↓),gpt-5.4,GPT-5.4,5,0.06683999850388987
simple,Prompted (SC),0.5846388415672913,normalized_coalition_regret_gap,Coalition Advantage (-),gpt-5.4,GPT-5.4,5,0.13570900151878876
simple,Prompted (SC),0.9666666666666666,judge_mean_rating,Collusion Judge (↓),gpt-5.4,GPT-5.4,5,0.062360956446232345
